 ,MSE_Mean,MSE_Var,r_Mean,r_Var,R2_Mean,R2_Var
Pretrained model,0.24254835,0.0030277914,0.8672440513342494,0.0009271989270198851,0.6776342225063828,0.006537451626732536
Directly transferred pretrained model,0.1747884,0.0021381914,0.8807790369876505,0.001508089406090059,0.7670967661707099,0.004736729869054747
Direct-training baseline model,0.12570864,0.0006001516,0.9198142465284672,0.000733602092232915,0.827282171101808,0.0034514648935144742
KD-based TL model,0.07537775,0.0001636338,0.9502836983828986,0.00027100978406033023,0.8970168049168692,0.0009672871586252757
